Feraud;S;Feraud;75;31,36
Feraud;S;Feraud Summer;75;29,12
Kenzo parfums;S;Flower by Kenzo ;50;29,12
Ferre;S;GF Lei-Her;60;30,24
Ghost;V;Ghost Men;50;26,88
Givenchy;V;Givenchy Pour Homme;100;34,72
Ralph Lauren;S;Glamorous;50;33,6
Jennifer Lopez;S;Glow;100;25,76
Davidoff;V;Good Life;50;19,04
Elizabeth Arden;S;Green Tea;30;12,88
Elizabeth Arden;S;Green Tea;50;16,24
Elizabeth Arden;S;Green Tea;100;21,28
Gucci ;S;Gucci Eau de Parfum II;50;33,6
Gucci ;S;Gucci Eau de Parfum II;75;36,96
Gucci;V;Gucci Pour Homme;50;16,8
Gucci;V;Gucci Pour Homme;100;32,48
Gucci;S;Gucci Rush;75;31,36
Gucci;S;Gucci Rush2;75;31,36
J.Del Pozo;S;Halloween;50;22,4
J.Del Pozo;S;Halloween;100;24,64
Clinique;V;Happy Clinique;50;23,52
Clinique;V;Happy Clinique;100;33,6
Clinique;S;Happy Heart;50;30,24
Christian Dior;V;Higher;100;32,48
Christian Dior;V;Higher Energy;100;35,84
Givenchy;S;Hot Couture;50;32,48
Givenchy;S;Hot Couture;100;36,96
Givenchy;S;Hot Couture;15;15,68
Hugo Boss;V;Hugo Boss;150;30,24
Hugo Boss;S;Hugo Deep Red;90;29,12
Hugo Boss;S;Hugo Deep Red;50;23,52
Hugo Boss;S;Hugo Woman;125;29,12
Moschino;S;I love Love;50;31,36
Moschino;S;I love Love;30;23,52
Iceberg;S;Iceberg Twice;100;20,16
Salvador Dali Parfums;S;Iced Blue;50;23,52
Cerutti;V;Image;100;29,12
Cerutti;S;Image ;75;21,28
Yves Saint Laurent;S;In love Again;100;33,6
Yves Saint Laurent;S;In love Again summer;100;28
Armand Basi;S;In Red;100;29,12
Armand Basi;S;In Red;50;24,64
Ferragamo;S;Incanto;100;31,36
Ferragamo;S;Incanto Dream;100;35,84
Ferragamo;S;Incanto Dream;50;30,24
Ferragamo;S;Incanto Dream;30;21,84
Escada;S;Island Kiss;50;24,64
Christian Dior;S;J` Adore EDP;100;38,08
Christian Dior;S;J` Adore EDT;50;30,24
Versace;S;Jeans Couture;75;26,88
Versace;S;Jeans Couture Glam;75;26,88
Cindy Crawford;S;Joyful new;30;17,92
Joop;V;Jump;50;33,6
Kenzo parfums;S;Jungle Elephant;50;29,12
Roberto Cavalli;S;Just Cavalli;60;25,76
Roberto Cavalli;V;Just Cavalli;60;23,52
Kenzo parfums;V;Kenzo Air;100;32,48
Kenzo parfums;S;Kenzo L'eau par;100;34,72
Kenzo parfums;V;Kenzo L'eau par ;100;29,12
